"Table 2. Components of Population Change for Counties in Florida, 2020 to 2025",,,,,,,,
,,,,,,,,
,,,,,,,Percent of,
,Total,,,Components of Change,,,Change Due to,
State and,Change, ,,Natural,Net,,Natural,Net
County,2020–2025,Births,Deaths,Change,Migration,,Change,Migration
,,,,,,,,
FLORIDA,"1,841,074","1,096,073","1,197,162","-101,089","1,942,163",,0.0,100.0
,,,,,,,,
Alachua,"20,017","12,910","11,691","1,219","18,798",,6.1,93.9
Baker,880,"1,785","1,603",182,698,,20.7,79.3
Bay,"24,734","10,510","10,998",-488,"25,222",,0.0,100.0
Bradford,-635,"1,545","1,803",-258,-377,,40.6,59.4
Brevard,"61,288","25,972","43,185","-17,213","78,501",,0.0,100.0
,,,,,,,,
Broward,"49,160","101,807","85,667","16,140","33,020",,32.8,67.2
Calhoun,7,620,"1,044",-424,431,,0.0,100.0
Charlotte,"36,583","5,433","16,176","-10,743","47,326",,0.0,100.0
Citrus,"12,657","5,200","16,337","-11,137","23,794",,0.0,100.0
Clay,"20,360","11,193","11,749",-556,"20,916",,0.0,100.0
,,,,,,,,
Collier,"37,562","16,811","21,523","-4,712","42,274",,0.0,100.0
Columbia,"2,690","3,678","5,149","-1,471","4,161",,0.0,100.0
DeSoto,"1,971","1,956","2,207",-251,"2,222",,0.0,100.0
Dixie,458,795,"1,401",-606,"1,064",,0.0,100.0
Duval,"83,477","63,254","50,605","12,649","70,828",,15.2,84.8
,,,,,,,,
Escambia,"15,823","18,502","20,758","-2,256","18,079",,0.0,100.0
Flagler,"25,336","4,253","8,824","-4,571","29,907",,0.0,100.0
Franklin,932,436,850,-414,"1,346",,0.0,100.0
Gadsden,964,"2,397","2,929",-532,"1,496",,0.0,100.0
Gilchrist,"1,852","1,014","1,269",-255,"2,107",,0.0,100.0
,,,,,,,,
Glades,929,340,766,-426,"1,355",,0.0,100.0
Gulf,"2,429",578,"1,117",-539,"2,968",,0.0,100.0
Hamilton,151,789,996,-207,358,,0.0,100.0
Hardee,715,"1,758","1,464",294,421,,41.1,58.9
Hendry,"7,466","2,862","1,935",927,"6,539",,12.4,87.6
,,,,,,,,
Hernando,"18,334","8,442","16,366","-7,924","26,258",,0.0,100.0
Highlands,"6,741","4,223","9,399","-5,176","11,917",,0.0,100.0
Hillsborough,"115,875","84,983","64,546","20,437","95,438",,17.6,82.4
Holmes,389,960,"1,581",-621,"1,010",,0.0,100.0
Indian River,"13,225","6,146","12,675","-6,529","19,754",,0.0,100.0
,,,,,,,,
Jackson,"2,409","2,446","3,673","-1,227","3,636",,0.0,100.0
Jefferson,"1,251",663,"1,026",-363,"1,614",,0.0,100.0
Lafayette,375,341,550,-209,584,,0.0,100.0
Lake,"61,925","18,305","26,620","-8,315","70,240",,0.0,100.0
Lee,"78,401","37,402","44,250","-6,848","85,249",,0.0,100.0
,,,,,,,,
Leon,"13,668","13,920","12,014","1,906","11,762",,13.9,86.1
Levy,"3,355","2,066","3,470","-1,404","4,759",,0.0,100.0
Liberty,166,379,455,-76,242,,0.0,100.0
Madison,891,984,"1,486",-502,"1,393",,0.0,100.0
Manatee,"67,135","18,982","24,892","-5,910","73,045",,0.0,100.0
,,,,,,,,
Marion,"57,857","18,123","31,997","-13,874","71,731",,0.0,100.0
Martin,"7,850","6,408","11,652","-5,244","13,094",,0.0,100.0
Miami-Dade,"113,160","143,207","116,274","26,933","86,227",,23.8,76.2
Monroe,"1,833","3,536","3,871",-335,"2,168",,0.0,100.0
Nassau,"16,701","4,218","5,661","-1,443","18,144",,0.0,100.0
,,,,,,,,
Okaloosa,"14,525","13,005","11,071","1,934","12,591",,13.3,86.7
Okeechobee,670,"2,663","2,846",-183,853,,0.0,100.0
Orange,"106,137","81,181","49,576","31,605","74,532",,29.8,70.2
Osceola,"96,259","24,256","15,647","8,609","87,650",,8.9,91.1
Palm Beach,"63,970","74,123","83,290","-9,167","73,137",,0.0,100.0
,,,,,,,,
Pasco,"86,478","28,061","37,635","-9,574","96,052",,0.0,100.0
Pinellas,"7,826","36,328","65,492","-29,164","36,990",,0.0,100.0
Polk,"121,850","44,265","43,876",389,"121,461",,0.3,99.7
Putnam,"3,279","4,041","6,173","-2,132","5,411",,0.0,100.0
St. Johns,"74,911","12,204","12,827",-623,"75,534",,0.0,100.0
,,,,,,,,
St. Lucie,"64,848","17,746","20,860","-3,114","67,962",,0.0,100.0
Santa Rosa,"23,445","9,896","9,796",100,"23,345",,0.4,99.6
Sarasota,"53,634","14,706","33,565","-18,859","72,493",,0.0,100.0
Seminole,"24,250","22,402","20,364","2,038","22,212",,8.4,91.6
Sumter,"32,741","2,674","13,248","-10,574","43,315",,0.0,100.0
,,,,,,,,
Suwannee,"3,800","2,221","3,579","-1,358","5,158",,0.0,100.0
Taylor,215,"1,028","1,653",-625,840,,0.0,100.0
Union,674,780,"1,353",-573,"1,247",,0.0,100.0
Volusia,"50,990","24,763","41,655","-16,892","67,882",,0.0,100.0
Wakulla,"4,425","1,684","1,988",-304,"4,729",,0.0,100.0
,,,,,,,,
Walton,"15,242","4,678","4,319",359,"14,883",,2.4,97.6
Washington,"1,558","1,236","1,845",-609,"2,167",,0.0,100.0
, , , ,,,,,
,,,,,,,,
"Sources: Florida Department of Health (2020‒2024 Vital Statistics), U.S. Census Bureau (2020 Census), and University of Florida, Bureau of Economic and Business Research (2025 Estimates).",,,,,,,,
,,,,,,,,
