"Table 3. Population and Population Change for Counties in Florida, 2000 to 2025",,,,,,,,
,,,,,,,,
,,,,,,Percent Change,,
State and,Population,,,,,2020,2010,2000
County,2025,2020,2010,2000,,to 2025,to 2020,to 2010
,,,,,,,,
FLORIDA,"23,379,261","21,538,187","18,801,332","15,982,824",,8.5,14.6,17.6
,,,,,,,,
Alachua,"298,485","278,468","247,336","217,955",,7.2,12.6,13.5
Baker,"29,139","28,259","27,115","22,259",,3.1,4.2,21.8
Bay,"199,950","175,216","168,852","148,217",,14.1,3.8,13.9
Bradford,"27,668","28,303","28,520","26,088",,-2.2,-0.8,9.3
Brevard,"667,900","606,612","543,376","476,230",,10.1,11.6,14.1
,,,,,,,,
Broward,"1,993,535","1,944,375","1,748,066","1,623,018",,2.5,11.2,7.7
Calhoun,"13,655","13,648","14,625","13,017",,0.1,-6.7,12.4
Charlotte,"223,430","186,847","159,978","141,627",,19.6,16.8,13
Citrus,"166,500","153,843","141,236","118,085",,8.2,8.9,19.6
Clay,"238,605","218,245","190,865","140,814",,9.3,14.3,35.5
,,,,,,,,
Collier,"413,314","375,752","321,520","251,377",,10,16.9,27.9
Columbia,"72,388","69,698","67,531","56,513",,3.9,3.2,19.5
DeSoto,"35,947","33,976","34,862","32,209",,5.8,-2.5,8.2
Dixie,"17,217","16,759","16,422","13,827",,2.7,2.1,18.8
Duval,"1,079,044","995,567","864,263","778,879",,8.4,15.2,11
,,,,,,,,
Escambia,"337,728","321,905","297,619","294,410",,4.9,8.2,1.1
Flagler,"140,714","115,378","95,696","49,832",,22,20.6,92
Franklin,"13,383","12,451","11,549","9,829",,7.5,7.8,17.5
Gadsden,"44,790","43,826","46,389","45,087",,2.2,-5.5,2.9
Gilchrist,"19,716","17,864","16,939","14,437",,10.4,5.5,17.3
,,,,,,,,
Glades,"13,055","12,126","12,884","10,576",,7.7,-5.9,21.8
Gulf,"16,621","14,192","15,863","14,560",,17.1,-10.5,8.9
Hamilton,"14,155","14,004","14,799","13,327",,1.1,-5.4,11
Hardee,"26,042","25,327","27,731","26,938",,2.8,-8.7,2.9
Hendry,"47,085","39,619","39,140","36,210",,18.8,1.2,8.1
,,,,,,,,
Hernando,"212,849","194,515","172,778","130,802",,9.4,12.6,32.1
Highlands,"107,976","101,235","98,786","87,366",,6.7,2.5,13.1
Hillsborough,"1,575,637","1,459,762","1,229,226","998,948",,7.9,18.8,23.1
Holmes,"20,042","19,653","19,927","18,564",,2,-1.4,7.3
Indian River,"173,013","159,788","138,028","112,947",,8.3,15.8,22.2
,,,,,,,,
Jackson,"49,728","47,319","49,746","46,755",,5.1,-4.9,6.4
Jefferson,"15,761","14,510","14,761","12,902",,8.6,-1.7,14.4
Lafayette,"8,601","8,226","8,870","7,022",,4.6,-7.3,26.3
Lake,"445,881","383,956","297,047","210,527",,16.1,29.3,41.1
Lee,"839,223","760,822","618,754","440,888",,10.3,23,40.3
,,,,,,,,
Leon,"305,866","292,198","275,487","239,452",,4.7,6.1,15
Levy,"46,270","42,915","40,801","34,450",,7.8,5.2,18.4
Liberty,"8,140","7,974","8,365","7,021",,2.1,-4.7,19.1
Madison,"18,859","17,968","19,224","18,733",,5,-6.5,2.6
Manatee,"466,845","399,710","322,833","264,002",,16.8,23.8,22.3
,,,,,,,,
Marion,"433,765","375,908","331,303","258,916",,15.4,13.5,28
Martin,"166,281","158,431","146,318","126,731",,5,8.3,15.5
Miami-Dade,"2,814,927","2,701,767","2,496,457","2,253,779",,4.2,8.2,10.8
Monroe,"84,707","82,874","73,090","79,589",,2.2,13.4,-8.2
Nassau,"107,053","90,352","73,314","57,663",,18.5,23.2,27.1
,,,,,,,,
Okaloosa,"226,193","211,668","180,822","170,498",,6.9,17.1,6.1
Okeechobee,"40,314","39,644","39,996","35,910",,1.7,-0.9,11.4
Orange,"1,536,045","1,429,908","1,145,956","896,344",,7.4,24.8,27.8
Osceola,"484,915","388,656","268,685","172,493",,24.8,44.7,55.8
Palm Beach,"1,556,161","1,492,191","1,320,134","1,131,191",,4.3,13,16.7
,,,,,,,,
Pasco,"648,369","561,891","464,697","344,768",,15.4,20.9,34.8
Pinellas,"966,933","959,107","916,542","921,495",,0.8,4.6,-0.5
Polk,"846,896","725,046","602,095","483,924",,16.8,20.4,24.4
Putnam,"76,600","73,321","74,364","70,423",,4.5,-1.4,5.6
St. Johns,"348,336","273,425","190,039","123,135",,27.4,43.9,54.3
,,,,,,,,
St. Lucie,"394,074","329,226","277,789","192,695",,19.7,18.5,44.2
Santa Rosa,"211,445","188,000","151,372","117,743",,12.5,24.2,28.6
Sarasota,"487,640","434,006","379,448","325,961",,12.4,14.4,16.4
Seminole,"495,106","470,856","422,718","365,199",,5.2,11.4,15.8
Sumter,"162,493","129,752","93,420","53,345",,25.2,38.9,75.1
,,,,,,,,
Suwannee,"47,274","43,474","41,551","34,844",,8.7,4.6,19.2
Taylor,"22,011","21,796","22,570","19,256",,1,-3.4,17.2
Union,"16,821","16,147","15,535","13,442",,4.2,3.9,15.6
Volusia,"604,533","553,543","494,593","443,343",,9.2,11.9,11.6
Wakulla,"38,189","33,764","30,776","22,863",,13.1,9.7,34.6
,,,,,,,,
Walton,"90,547","75,305","55,043","40,601",,20.2,36.8,35.6
Washington,"26,876","25,318","24,896","20,973",,6.2,1.7,18.7
,,,,,,,,
"Sources: U.S. Census Bureau (2020, 2010, and 2000 Census) and University of Florida, Bureau of Economic and Business Research (2025 Estimates).",,,,,,,,
